Cation,Anion,Gases,T/K,P/bar,ARD,Fugacity/bar,Vapor pressure/bar,Solubility,Molecular weight(g/mol),Melting point(C),Boiling point,Critical Temperature,Critical pressure,Critical volume(m3/kg),Flash point
[BMIM],[BF4],CO2,282.75 ,0.10 ,0.3399,0.10 ,44.57 ,0.0020,44.01,-56.6,-78.5,30.98,73.8,0.00214,0
[BMIM],[BF4],CO2,282.95 ,0.50 ,0.0032,0.50 ,44.79 ,0.0130,44.01,-56.6,-78.5,30.98,73.8,0.00214,0
[BMIM],[BF4],CO2,283.05 ,1.00 ,0.0100,1.00 ,44.90 ,0.0260,44.01,-56.6,-78.5,30.98,73.8,0.00214,0
[BMIM],[BF4],CO2,283.05 ,4.00 ,0.0184,3.91 ,44.90 ,0.0960,44.01,-56.6,-78.5,30.98,73.8,0.00214,0
[BMIM],[BF4],CO2,283.05 ,10.00 ,0.0291,9.41 ,44.90 ,0.2160,44.01,-56.6,-78.5,30.98,73.8,0.00214,0
[BMIM],[BF4],CO2,283.05 ,13.00 ,0.0464,12.02 ,44.90 ,0.2650,44.01,-56.6,-78.5,30.98,73.8,0.00214,0
[BMIM],[BF4],CO2,283.05 ,20.00 ,0.0707,17.67 ,44.90 ,0.3640,44.01,-56.6,-78.5,30.98,73.8,0.00214,0
[BMIM],[BF4],CO2,283.15 ,15.00 ,0.0541,13.69 ,45.01 ,0.2950,44.01,-56.6,-78.5,30.98,73.8,0.00214,0
[BMIM],[BF4],CO2,283.25 ,7.00 ,0.0198,6.71 ,45.13 ,0.1590,44.01,-56.6,-78.5,30.98,73.8,0.00214,0
[BMIM],[BF4],CO2,297.95 ,0.10 ,0.1081,0.10 ,64.07 ,0.0020,44.01,-56.6,-78.5,30.98,73.8,0.00214,0
[BMIM],[BF4],CO2,297.95 ,10.00 ,0.0271,9.50 ,64.07 ,0.1580,44.01,-56.6,-78.5,30.98,73.8,0.00214,0
[BMIM],[BF4],CO2,297.95 ,15.00 ,0.0428,13.89 ,64.07 ,0.2210,44.01,-56.6,-78.5,30.98,73.8,0.00214,0
[BMIM],[BF4],CO2,298.05 ,1.00 ,0.0483,1.00 ,64.22 ,0.0190,44.01,-56.6,-78.5,30.98,73.8,0.00214,0
[BMIM],[BF4],CO2,298.05 ,20.00 ,0.0499,18.04 ,64.22 ,0.2770,44.01,-56.6,-78.5,30.98,73.8,0.00214,0
[BMIM],[BF4],CO2,298.15 ,0.50 ,0.0923,0.50 ,64.36 ,0.0100,44.01,-56.6,-78.5,30.98,73.8,0.00214,0
[BMIM],[BF4],CO2,298.15 ,4.00 ,0.0044,3.92 ,64.36 ,0.0690,44.01,-56.6,-78.5,30.98,73.8,0.00214,0
[BMIM],[BF4],CO2,298.15 ,7.00 ,0.0094,6.76 ,64.36 ,0.1160,44.01,-56.6,-78.5,30.98,73.8,0.00214,0
[BMIM],[BF4],CO2,298.15 ,13.00 ,0.0310,12.17 ,64.36 ,0.1970,44.01,-56.6,-78.5,30.98,73.8,0.00214,0
[BMIM],[BF4],CO2,323.15 ,0.50 ,0.1204,0.50 ,111.36 ,0.0060,44.01,-56.6,-78.5,30.98,73.8,0.00214,0
[BMIM],[BF4],CO2,323.15 ,1.00 ,0.1248,1.00 ,111.36 ,0.0120,44.01,-56.6,-78.5,30.98,73.8,0.00214,0
[BMIM],[BF4],CO2,323.15 ,4.00 ,0.0712,3.94 ,111.36 ,0.0440,44.01,-56.6,-78.5,30.98,73.8,0.00214,0
[BMIM],[BF4],CO2,323.15 ,7.00 ,0.0435,6.81 ,111.36 ,0.0730,44.01,-56.6,-78.5,30.98,73.8,0.00214,0
[BMIM],[BF4],CO2,323.15 ,10.00 ,0.0245,9.62 ,111.36 ,0.1000,44.01,-56.6,-78.5,30.98,73.8,0.00214,0
[BMIM],[BF4],CO2,323.15 ,13.00 ,0.0256,12.36 ,111.36 ,0.1270,44.01,-56.6,-78.5,30.98,73.8,0.00214,0
[BMIM],[BF4],CO2,323.15 ,15.00 ,0.0155,14.16 ,111.36 ,0.1430,44.01,-56.6,-78.5,30.98,73.8,0.00214,0
[BMIM],[BF4],CO2,323.15 ,20.00 ,0.0066,18.50 ,111.36 ,0.1820,44.01,-56.6,-78.5,30.98,73.8,0.00214,0
[BMIM],[BF4],CO2,323.25 ,0.10 ,0.6430,0.10 ,111.59 ,0.0030,44.01,-56.6,-78.5,30.98,73.8,0.00214,0
[BMIM],[BF4],CO2,347.95 ,10.00 ,0.1612,9.71 ,187.16 ,0.0710,44.01,-56.6,-78.5,30.98,73.8,0.00214,0
[BMIM],[BF4],CO2,348.05 ,1.00 ,0.1028,1.00 ,187.55 ,0.0070,44.01,-56.6,-78.5,30.98,73.8,0.00214,0
[BMIM],[BF4],CO2,348.05 ,4.00 ,0.1789,3.95 ,187.55 ,0.0300,44.01,-56.6,-78.5,30.98,73.8,0.00214,0
[BMIM],[BF4],CO2,348.05 ,20.00 ,0.1554,18.83 ,187.55 ,0.1330,44.01,-56.6,-78.5,30.98,73.8,0.00214,0
[BMIM],[BF4],CO2,348.15 ,0.10 ,0.6793,0.10 ,187.95 ,0.0020,44.01,-56.6,-78.5,30.98,73.8,0.00214,0
[BMIM],[BF4],CO2,348.15 ,0.50 ,0.0494,0.50 ,187.95 ,0.0030,44.01,-56.6,-78.5,30.98,73.8,0.00214,0
[BMIM],[BF4],CO2,348.15 ,7.00 ,0.1727,6.85 ,187.95 ,0.0510,44.01,-56.6,-78.5,30.98,73.8,0.00214,0
[BMIM],[BF4],CO2,348.15 ,13.00 ,0.1485,12.51 ,187.95 ,0.0890,44.01,-56.6,-78.5,30.98,73.8,0.00214,0
[BMIM],[BF4],CO2,348.15 ,15.00 ,0.1608,14.35 ,187.95 ,0.1030,44.01,-56.6,-78.5,30.98,73.8,0.00214,0
[BMIM],[BF4],CO2,303.93 ,0.22 ,0.7842,0.22 ,73.37 ,0.0159,44.01,-56.6,-78.5,30.98,73.8,0.00214,0
[BMIM],[BF4],CO2,343.83 ,0.26 ,0.7725,0.26 ,171.71 ,0.0079,44.01,-56.6,-78.5,30.98,73.8,0.00214,0
[BMIM],[BF4],CO2,303.90 ,0.77 ,0.2402,0.76 ,73.32 ,0.0160,44.01,-56.6,-78.5,30.98,73.8,0.00214,0
[BMIM],[BF4],CO2,303.38 ,0.78 ,0.2302,0.78 ,72.47 ,0.0162,44.01,-56.6,-78.5,30.98,73.8,0.00214,0
[BMIM],[BF4],CO2,313.99 ,0.80 ,0.2363,0.80 ,91.55 ,0.0133,44.01,-56.6,-78.5,30.98,73.8,0.00214,0
[BMIM],[BF4],CO2,324.18 ,0.82 ,0.2320,0.82 ,113.81 ,0.0110,44.01,-56.6,-78.5,30.98,73.8,0.00214,0
